aid;brand;mpnr;ean;name;desc;shop_cat;price;link;image;old_price;dlv_time;dlv_cost;pzn;promo_text;
220959-2;Abena;220959;5703538768293;Curi-Med Fixierpflaster - atmungsaktiv - hypoallergen - 20 cm x 10 m - 18 Rollen - PZN 07560972 ;Fixierklebeband für Wundauflagen Katheter Schläuche etc.  Hypoallergen  Atmungsaktiv  Maße: 20 cm x 10 m  Lieferumfang: 18 Rollen;Home/Inkontinenz/Nach Marken sortiert/Abena/Curi-Med Fixierpflaster - atmungsaktiv - hypoallergen - 20 cm x 10 m - 18 Rollen - PZN 07560972;829.49 ;https://www.inko-versand.de/product-220959-curi-med-fixierklebeband-atmungsaktiv-hypoallergen-20-cm-x-10-m-18-rollen.html;https://www.inko-versand.de/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/2/2/220959_2_1.jpg;870.96;ca. 5-7 Tage;6.90;07560972;;
220994;Abena;220994;07556019;Curi-Med - Mullkompresse - 10 x 10 cm - steril - weiß - 125 Stk - PZN 07556019 ;• Curi-Med Mullkompresse  • steril  • Maße: 10 x 10 cm  • besonders gute Saugfähigkeit  • Lieferumfang: 1 Packung / 125 Stück;Home/Inkontinenz/Nach Marken sortiert/Abena/Curi-Med - Mullkompresse - 10 x 10 cm - steril - weiß - 125 Stk - PZN 07556019;11.69 ;https://www.inko-versand.de/product-220994-curi-med-mullkompresse-10-x-10-cm-steril-weiss-125-stueck.html;https://www.inko-versand.de/media/catalog/product/cache/1/image/1800x/040ec09b1e35df139433887a97daa66f/2/2/220994_1.jpg;12.86;ca. 5-7 Tage;6.90;07556019;;
7023;Abena;7023;5703538773099;Curi-Med Vlieskompressen - steril - weiß - 4lagig - 10 x 10 cm - 125 Stk - PZN 05905527;Sterile Vlieskompressen  Weiche und glatte Oberfläche  Saugstark und fusselfrei  Maße: 10 x 10 cm  Lieferumfang: 125 Stück in 25 Beuteln à 5 Stück;Home/Inkontinenz/Nach Marken sortiert/Abena/Curi-Med Vlieskompressen - steril - weiß - 4lagig - 10 x 10 cm - 125 Stk - PZN 05905527;12.69;https://www.inko-versand.de/product-7023-curi-med-vlieskompresse-steril-weiss-10-x-10-cm-125-stueck.html;https://www.inko-versand.de/media/catalog/product/cache/1/image/1800x/040ec09b1e35df139433887a97daa66f/7/0/7023_2.jpg;13.96;ca. 5-7 Tage;6.90;05905527;;
7018;Abena;7018;5703538773013;Curi-Med Vlieskompressen - steril - weiß - 4lagig - 75 x 75 cm - 125 Stück - PZN 05905473 ;Sterile Vlieskompressen  Weiche und glatte Oberfläche  Saugstark und fusselfrei  Maße: 75 x 75 cm  Lieferumfang: 1 Packung / 125 Stück;Home/Inkontinenz/Nach Marken sortiert/Abena/Curi-Med Vlieskompressen - steril - weiß - 4lagig - 7,5 x 7,5 cm - 125 Stück - PZN 05905473;9.95 ;https://www.inko-versand.de/product-7018-curi-med-vlieskompresse-steril-weiss-7-5-x-7-5-cm-125-stueck.html;https://www.inko-versand.de/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/7/0/7018_2.jpg;10.95;ca. 5-7 Tage;6.90;05905473;;
7020;Abena;7020;5703538770371;CURI-MED - unsterile Vlieskompressen - weiß - 10 x 10 cm - 100 Stk - PZN 1651627;Unsterile gebrauchsfertige Vlieskompressen  Luftdurchlässig hautverträglich  Besonders gute Saugfähigkeit  Maße: 10 x 10 cm  Lieferumfang: 1 Packung / 100 Stück;Home/Inkontinenz/Nach Marken sortiert/Abena/CURI-MED - unsterile Vlieskompressen - weiß - 10 x 10 cm - 100 Stk - PZN 1651627;3.99;https://www.inko-versand.de/inkontinenzbedarf/nach-hersteller-sortiert/abri/product-7020-curimed-unsterile-vlieskompressen-weiss-10-x-10-cm-100-stueck.html;https://www.inko-versand.de/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/7/0/7020_2.jpg;4.39;ca. 5-7 Tage;6.90;1651627;;
7017;Abena;7017;5703538772979;Curi-Med Vlieskompressen - steril - 4lagig - 75 x 75 cm - weiß - PZN 05905450 - 100 Stück;• sterile Vlieskompressen  • weiche und glatte Oberfläche  • saugstark und fusselfrei  • Maße: 75 x 75 cm  • Lieferumfang: 1 Packung / 100 Stück;Home/Inkontinenz/Nach Marken sortiert/Abena/Curi-Med Vlieskompressen - steril - 4lagig - 7,5 x 7,5 cm - weiß - PZN 05905450 - 100 Stück;8.99;https://www.inko-versand.de/product-7017-curi-med-vlieskompresse-steril-7-5-x-7-5-cm-weiss-100-stueck.html;https://www.inko-versand.de/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/7/0/7017_2.jpg;10.34;ca. 5-7 Tage;6.90;05905450;;
7015;Abena;7015;5703538770333;CURI-MED - unsterile Vlieskompressen - 4-fach - weiß - 75 x 75 cm - 100 Stk - PZN 1651604;Unsterile gebrauchsfertige Vlieskompressen  Luftdurchlässig hautverträglich  Besonders gute Saugfähigkeit  Maße: 75 x 75 cm  Lieferumfang: 1 Packung / 100 Stück;Home/Inkontinenz/Nach Marken sortiert/Abena/CURI-MED - unsterile Vlieskompressen - 4-fach - weiß - 7,5 x 7,5 cm - 100 Stk - PZN 1651604; 4.49;https://www.inko-versand.de/product-7015-curimed-unsterile-vlieskompressen-4-fach-weiss-7-5-x-7-5-cm-100-stueck.html;https://www.inko-versand.de/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/7/0/7015_2.jpg;4.94;ca. 5-7 Tage;6.90;1651604;;
7012;Abena;7012;5703538772894;CURI-MED Vlieskompressen - 4lagig - steril - weiß - 5 x 5 cm - 100 Stück - PZN 05905415;Sterile Vlieskompressen  Weiche und glatte Oberfläche  Saugstark und fusselfrei  Maße: 5 x 5 cm  Lieferumfang: 1 Packung / 100 Stück;Home/Inkontinenz/Nach Marken sortiert/Abena/CURI-MED Vlieskompressen - 4lagig - steril - weiß - 5 x 5 cm - 100 Stück - PZN 05905415;7.14;https://www.inko-versand.de/product-7012-curi-med-vlieskompresse-4-fach-steril-weiss-5-x-5-cm-100-stueck.html;https://www.inko-versand.de/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/7/0/7012_2.jpg;7.85;ca. 5-7 Tage;6.90;05905415;;
7010;Abena;7010;5703538937224;CURI-MED - unsterile Vlieskompressen - weiß - 5 x 5 cm - 100 Stk - PZN 01651573;Unsterile gebrauchsfertige Vlieskompressen  Luftdurchlässig hautverträglich  Besonders gute Saugfähigkeit  Maße: 5 x 5 cm  Lieferumfang: 1 Packung / 100 Stück;Home/Inkontinenz/Nach Marken sortiert/Abena/CURI-MED - unsterile Vlieskompressen - weiß - 5 x 5 cm - 100 Stk - PZN 01651573;1.46 ;https://www.inko-versand.de/product-7010-curimed-unsterile-vlieskompressen-weiss-5-x-5-cm-100-stueck.html;https://www.inko-versand.de/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/7/0/7010_2.jpg;1.61;ca. 5-7 Tage;6.90;01651573;;
221607;Abena;221607;5703538773174;Curi-Med Schlitzkompresse - steril - weiß - 10 x 10 cm - PZN 07555965 - 100 Stück;• Sterile Y-Schlitzkompressen  • Zur Anwendung bei Tracheostomie Drainagen und Injektionen  • Saugstark und fusselfrei  • Maße: 10 x 10 cm  • Lieferumfang: 100 Stück in 50 Beuteln à 2 Stück;Home/Inkontinenz/Nach Marken sortiert/Abena/Curi-Med Schlitzkompresse - steril - weiß - 10 x 10 cm - PZN 07555965 - 100 Stück;27.99;https://www.inko-versand.de/product-221607-curi-med-schlitzkompresse-steril-weiss-10-x-10-cm-100-stueck.html;https://www.inko-versand.de/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/2/2/221607_2.jpg;30.79;ca. 5-7 Tage;6.90;07555965;;
221605;Abena;221605;5703538773136;Curi-Med Schlitzkompresse - steril - weiß - 5 x 5 cm - PZN 7555847 - 2x50 Stück;• Sterile Y-Schlitzkompressen  • Zur Anwendung bei Tracheostomie Drainagen und Injektionen  • Saugstark und fusselfrei  • Maße: 5 x 5 cm  • Lieferumfang: 100 Stück in 50 Beuteln à 2 Stück;Home/Inkontinenz/Nach Marken sortiert/Abena/Curi-Med Schlitzkompresse - steril - weiß - 5 x 5 cm - PZN 7555847 - 2x50 Stück;26.75;https://www.inko-versand.de/product-221605-curi-med-schlitzkompresse-steril-weiss-5-x-5-cm-100-stueck.html;https://www.inko-versand.de/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/2/2/221605_2.jpg;29.43;ca. 5-7 Tage;6.90;7555847;;
221606;Abena;221606;5703538054570;Curi-Med Schlitzkompresse - steril - weiß - 75 x 75 cm - 100 Stk - PZN 07555913;Sterile Vlieskompressen  Weiche und glatte Oberfläche  Saugstark und fusselfrei  Maße: 75 x 75 cm  Lieferumfang: 100 Stück in 50 Beuteln à 2 Stück;Home/Inkontinenz/Nach Marken sortiert/Abena/Curi-Med Schlitzkompresse - steril - weiß - 7,5 x 7,5 cm - 100 Stk - PZN 07555913;26.79;https://www.inko-versand.de/product-221606-curi-med-schlitzkompresse-steril-weiss-7-5-x-7-5-cm-100-stueck.html;<img id="image-main" class="gallery-image visible" src="https://www.inko-versand.de/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/2/2/221606_2.jpg" alt="Curi-Med Schlitzkompresse" title="Curi-Med Schlitzkompresse">;29.47;ca. 5-7 Tage;6.90;07555913;;
221430;Abena;221430;5703538768330;Curi-Med - Post-OP Verband - weiß - 6 x 7 cm - steril - 100 Stück - PZN 7560989;• steril  • 100 Stück  • 6 cm x 7 cm  • Vliesrückseite  • Hypoallergenes Acrylklebemittel;Home/Inkontinenz/Nach Marken sortiert/Abena/Curi-Med - Post-OP Verband - weiß - 6 x 7 cm - steril - 100 Stück - PZN 7560989;52.95;https://www.inko-versand.de/product-221430-curi-med-post-op-verband-weiss-6-x-7-cm-steril-100-stueck.html;https://www.inko-versand.de/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/2/2/221430_2.jpg;58.25;ca. 5-7 Tage;6.90;7560989;;
221425;Abena;221425;5703538765179;Curi-Med - Mullfixierbinde - 4 m x 10 cm - elastisch - 20 Stück - PZN 00557056;• Mullfixierbinde  • 41% Baumwolle 59% Polyamid  • Maße: 4 m x 10 cm  • hochwertig  • Lieferumfang: 1 Packung / 20 Stück;Home/Inkontinenz/Nach Marken sortiert/Abena/Curi-Med - Mullfixierbinde - 4 m x 10 cm - elastisch - 20 Stück - PZN 00557056;9.20;https://www.inko-versand.de/product-221425-curi-med-mullfixierbinde-4-m-x-10-cm-elastisch-20-stueck.html;https://www.inko-versand.de/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/2/2/221425_2.jpg;9.66;ca. 5-7 Tage;6.90;00557056;;
SE-091-SN30-002;seni;SE-091-SN30-002;5900516692568;SENI SOFT Normal - Krankenunterlagen - 60x60 cm;Die Einmal Bettschutzunterlagen Seni Soft Normal sind besonders gut geeignet als zusätzlicher Schutz bei bettlägerigen Personen oder Ganzkörperwäsche. Der Saugkörper aus Zellschutz-Flocken können je nach Produkt von 500 bis 1.600 ml Flüssigkeit aufnehmen und helfen das Bett frisch und hygienisch sauber zu halten.;Home > Inkontinenz ;6.51;https://www.inko-versand.de/seni-soft-normal.html;https://www.inko-versand.de/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/s/e/seni_soft_normal_inko-versand_2.jpg;7.16;ca. 5-7 Tage;6.90;10341446;;
SE-097-LA10-003;seni;SE-097-LA10-003;5900516691806;Seni Optima Trio Large - Inkontinenzvorlagen mit Hüftbund ;Die atmungsaktive Vorlage Seni Optima besitzt einen integrierten Hüftbund. Dieser besonders weiche Bund sorgt für eine einfache Handhabung und passt sich optimal an den Körper an. Der optimale Sitz wird zudem durch die elastischen Vorder- und Rückseiten gewährleistet. Weiterhin sorgt ein doppeltes Saugkissen mit integriertem Superabsorber für ein angenehm trockenes Gefühl. Ein doppelter Nässeindikator gibt präzise Information darüber ob das Produkt gewechselt werden muss.;Home > Inkontinenz ;7.35;https://www.inko-versand.de/seni-optima-trio-large.html;https://www.inko-versand.de/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/s/e/senioptimatrio_1_inko-versand_2.jpg;8.09;ca. 5-7 Tage;6.90;01691443;;
SE-097-ME10-002;Seni;SE-097-ME10-002;5900516988180;Seni Optima Plus Medium - Inkontinenzvorlagen mit Hüftbund;Die atmungsaktive Vorlage Seni Optima besitzt einen integrierten Hüftbund. Dieser besonders weiche Bund sorgt für eine einfache Handhabung und passt sich optimal an den Körper an. Der optimale Sitz wird zudem durch die elastischen Vorder- und Rückseiten gewährleistet. Weiterhin sorgt ein doppeltes Saugkissen mit integriertem Superabsorber für ein angenehm trockenes Gefühl. Ein doppelter Nässeindikator gibt präzise Information darüber ob das Produkt gewechselt werden muss.;Home > Inkontinenz ;5.80;https://www.inko-versand.de/seni-optima-plus-medium.html;https://www.inko-versand.de/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/s/e/senioptimaplus_1_inko-versand.jpg;6.38;ca. 5-7 Tage;6.90;01687513;;
SE-096-SM10-AS1;Seni;SE-096-SM10-AS1;5900516695743;Seni Active Super Small - Inkontinezpants bei mittlerer und schwerer Blasenschwäche - für Männer und Frauen - 10 Stk.;Seni Active Super Small - Inkontinezslip/-einlagen bei mittlerer und schwerer Blascenschwäche (ehemals Seni Active)    Atmungsaktive elastische Inkontinenzslips wie gewöhnliche Unterwäsche an- und ausziehbar aufreißbare Seitennähte doppeltes Saugkissen mit Superabsorber flüssigkeitsabweisender seitlicher Auslaufschutz ideal für aktive Personen und beim Blasentraining.     Die Seni Active Super sind atmungsaktive elastische Inkontinenzslips für den täglichen Gebrauch. Die Slips fühlen sich an und sind wie normale Unterwäsche die man an- und ausziehen kann. Folglich bietet dies einen guten Komfort und Diskretion im Alltag. Aufreißbare Seitennähte sind für eine einfache Entsorgung des gebrauchten Produktes vorhanden. Ein doppeltes Saugkissen mit Superabsorber besitzen die Slips welche gleichzeitig die Neutralisierung von unangenehmen Gerüchen tätigt. Der Nässindikator ist eine weitere Innovation des Inkontinenzproduktes von Seni welches den Träger informiert wann der Slip gewechselt werden sollte.;Home/ Inkontinenz/ Nach Marken;7.25;https://www.inko-versand.de/seni-active-super-small.html;https://www.inko-versand.de/media/catalog/product/cache/1/image/1800x/040ec09b1e35df139433887a97daa66f/s/e/se-096-sm10-as1.png;;ca. 5-7 Tage;6.90;13475791;;
CP 02.01.02.01;Lovital;CP 02.01.02.01;4260377930065;Lovital Pro 8.5 - Proteinpulver - 300g;Geschmack neutral  Ist angereichert mit Vitaminen Mineralstoffen und Spurenelementen  Enthält Kollagen- ein wichtiges Strukturprotein bei der Zell und Knorpelbildung  Mit geringem Kohlenhydratgehalt  Hoher Anteil an essentiellen Aminosäuren die als Baustein der Proteine bei der Zell - und Muskelbildung bedeutend sind  Hohe Löslichkeit des Produktes  Ist nach dem Zubereiten von Speise unter ständigem Rühren vorgelöst zuzugeben  Dosierung ist abhänig vom Eiweißbedarf -- eine Tagesportion von 25g lovital Pro 8.5 Pulver enthalten 21 g Eiweiß  Produkt ist GMO frei  Proteine aus Milch Molke Kollagen Soja  Alle angegebenen Werte der Inhaltsstoffe und Nährwertinformationen sind Durchschnittswerte und können aufgrund von Rohstoffschwankungen abweichen.;Home;23.81;https://www.inko-versand.de/lovital-pro-8-5-proteinpulver.html;https://www.inko-versand.de/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/l/o/lovital-pro-8-5.jpg;25.00;ca. 5-7 Tage;6.90;10386236;;
CP 06.01.03.01;Lovital;CP 06.01.03.01;4260377930157;Lovital NutriPro - Ernührungspulver - 1500g;Erhältlich im 1500 g Eimer  Hochwertiges normokalorisches Instant Ernährungspulver  Schnelle und hohe Löslichkeit  Geschmacks- und geruchsneutral  Sehr gute Kontrolle der Kalorienaufnahme  Enthält alle lebenswichtigen Vitamine Mineralstoffe und Spurenelemente  voll bilanziert  235 g entspricht einer Portion ca.15 Esslöffel -- lösen in 100ml Wasser entspricht ca. 1oo kcal  Unverträglichkeitshinweis: Produkt enthält Milch Molken und Sojaeiweiß sowie Laktose<02% Spuren von Gluten und Sulphit  Nur bei normaler Stoffwechsellage verwenden nicht geben bei Unverträglichkeiten gegen einer der Inhaltstoffe  Geeignet für Menschen bei drohender oder besthender Mangelernährung  Auf eine ausgewogene und abwechlungsreiche Ernährung ist weiterhin zu achten  Unverträglichkeitshinweis: Soja und Milcheiweis    Alle angegebenen Werte der Inhaltsstoffe und Nährwertinformationen sind Durchschnittswerte und können aufgrund von Rohstoffschwankungen abweichen.;Home;39.88;https://www.inko-versand.de/lovital-nutripro-1500g.html;https://www.inko-versand.de/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/l/o/lovital-nutripro.jpg;41.87;ca. 5-7 Tage;6.90;11113138;;
CP.03.05.04.01;Lovital;CP.03.05.04.01;4100910207561;Lovital Quick & Thick - Andickungspulver - 1.000g;Bestens geeignet zum Andicken von Speisen und Getränken. Dickt kalte und heiße Flüssigkeiten gleichermaßen ist gefrier- und auftaustabil. Geschmacks- und geruchsneutral. Löst sich schnell klumpenfrei und dickt nicht nach. Schnelle und sichere Anwendung rühren bis das Pulver gut gelöst ist. Anwendungshinweis zum Erreichen der gewünschten Konsistenz (1.5 Eßlöffel honigartig 2 Eßlöffel puddingartig). Gilt für 100 ml Flüssigkeit. Nicht geeignet für Kinder unter 10 Jahren Zutatenverzeichnis: Modifizierte Stärke (E 1422). Geeignet zum Dysphagie Schlucktraining. Geeignet bei Schluckstörungen.  ; Home;28.90;https://www.inko-versand.de/lovital-complete-quck-and-thick-1000g.html;https://www.inko-versand.de/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/l/o/lovital-quick_thick_1.jpg;33.24;ca. 5-7 Tage;6.90;10386259;;
CP.04.06.05.01;Lovital;CP.04.06.05.01;4260377930119;Lovital Maltodextrin - Kohlenhydratpulver - 2.500g;Eimer 1L = 500g  Gescmack neutral  dient zur Energieanreicherung von Speisen und Getränken  Zutatenverzeichnis: Maltodextrin  Das Plus an Kohlenhydraten  löst sich schnell in kalten und warmen Flüssigkeiten  völlig geschmacksneutral  Anwendung ohne Konsistenz und Farbveränderung  frei von Gluten Milcheiweiß Laktose und Fructose  Anwendungshinweis: 1 Eßlöffel ca. 10g entspricht ca. 38 kcal.  Erhältlich im 500g  2.500g und 5000g Eimer  Geeignet beim Einsatz von Mangelernährung  Alle angegebenen Werte der Inhaltsstoffe und Nährwertinformationen sind Durchschnittswerte und können aufgrund von Rohstoffschwankungen abweichen.;Home;24.95;https://www.inko-versand.de/lovital-pro-8-5-kohlenhydratpulver-2500g.html;https://www.inko-versand.de/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/l/o/lovital-maltodextrin_1.jpg;28.69;ca. 5-7 Tage;6.90;10386213;;
